Date,Clicks,Impressions,CTR,Position
2025-12-11,6,65,9.23%,8.4
2025-12-12,2,99,2.02%,13
2025-12-13,2,61,3.28%,14.9
2025-12-14,2,56,3.57%,21.6
2025-12-15,4,69,5.8%,14.6
2025-12-16,12,74,16.22%,18.1
2025-12-17,5,53,9.43%,14.9
2025-12-18,1,55,1.82%,15.2
2025-12-19,3,58,5.17%,15.1
2025-12-20,3,43,6.98%,19.1
2025-12-21,2,51,3.92%,25.8
2025-12-22,7,43,16.28%,16.6
2025-12-23,3,52,5.77%,18.3
2025-12-24,1,45,2.22%,22.7
2025-12-25,0,50,0%,20.2
2025-12-26,0,55,0%,12.6
2025-12-27,0,85,0%,15.2
2025-12-28,4,94,4.26%,14.5
2025-12-29,6,99,6.06%,9.5
2025-12-30,4,143,2.8%,13.2
2025-12-31,2,63,3.17%,14.3
2026-01-01,3,120,2.5%,14.6
2026-01-02,5,109,4.59%,15.6
2026-01-03,2,133,1.5%,11.8
2026-01-04,1,110,0.91%,18.4
2026-01-05,1,123,0.81%,23.3
2026-01-06,3,120,2.5%,12.5
2026-01-07,20,223,8.97%,12.1
2026-01-08,4,180,2.22%,14.1
2026-01-09,7,158,4.43%,16.1
2026-01-10,3,132,2.27%,13.3
2026-01-11,8,182,4.4%,14.6
2026-01-12,2,121,1.65%,10.9
2026-01-13,8,157,5.1%,13.6
2026-01-14,13,164,7.93%,17
2026-01-15,6,113,5.31%,13.3
2026-01-16,8,176,4.55%,14.7
2026-01-17,8,205,3.9%,15.2
2026-01-18,9,202,4.46%,13.2
2026-01-19,8,263,3.04%,15.4
2026-01-20,7,215,3.26%,11.4
2026-01-21,9,185,4.86%,16.1
2026-01-22,7,193,3.63%,16.8
2026-01-23,13,180,7.22%,12.8
2026-01-24,7,233,3%,13.6
2026-01-25,17,234,7.26%,13.3
2026-01-26,10,274,3.65%,13.4
2026-01-27,13,184,7.07%,12.3
2026-01-28,9,254,3.54%,22.7
2026-01-29,12,215,5.58%,13.8
2026-01-30,5,195,2.56%,14.5
2026-01-31,14,256,5.47%,12.6
2026-02-01,13,349,3.72%,17.1
2026-02-02,9,263,3.42%,13.4
2026-02-03,12,212,5.66%,11.6
2026-02-04,24,281,8.54%,13.8
2026-02-05,9,239,3.77%,11.7
2026-02-06,18,265,6.79%,17.1
2026-02-07,3,186,1.61%,12.7
2026-02-08,14,283,4.95%,13.5
2026-02-09,8,213,3.76%,15
2026-02-10,12,210,5.71%,16.4
2026-02-11,17,215,7.91%,15.4
2026-02-12,11,192,5.73%,16
2026-02-13,12,179,6.7%,11.1
2026-02-14,12,198,6.06%,11.1
2026-02-15,19,282,6.74%,10.2
2026-02-16,19,237,8.02%,8.6
2026-02-17,9,189,4.76%,13.8
2026-02-18,17,251,6.77%,9.8
2026-02-19,12,311,3.86%,10.3
2026-02-20,16,332,4.82%,9.8
2026-02-21,11,400,2.75%,11.4
2026-02-22,8,417,1.92%,11.3
2026-02-23,15,374,4.01%,9.2
2026-02-24,12,429,2.8%,14.1
2026-02-25,17,493,3.45%,11.5
2026-02-26,17,1001,1.7%,9.4
2026-02-27,17,850,2%,10.6
2026-02-28,10,1001,1%,12.4
2026-03-01,14,899,1.56%,10.1
2026-03-02,10,820,1.22%,10.9
2026-03-03,20,835,2.4%,11
2026-03-04,19,760,2.5%,9.8
2026-03-05,18,647,2.78%,9.6
2026-03-06,19,609,3.12%,12
2026-03-07,18,627,2.87%,10.8
2026-03-08,18,622,2.89%,10.1
2026-03-09,32,661,4.84%,10.1
2026-03-10,38,607,6.26%,8.9
