Example Co. Statement of Cash Flows;;;;;;;;;;;
;;;;;;;;;;;
For the Year Ended December 31,;2026;2027;2028;2029;2030;;;;;;
;;;;;;;;;;;
Cash at Beginning of Period; €-   ; €(60.615); €(259.264); €(355.188); €107.517 ;;;;;;
;;;;;;;;;;;
Cash Receipts from Operating Activities;;;;;;;;;;;
Cash From Sales;22.722 ;347.498 ;725.333 ;1.544.227 ;2.332.414 ;;;;;;
Cash Payments for Operating Activities;;;;;;;;;;;
Cash paid for Direct Expenses; (1.954); (19.046); (42.864); (76.187); (122.797);;;;;;
0; -   ; -   ; -   ; -   ; -   ;;;;;;
Cash paid for Marketing; (21.545); (158.815); (223.831); (272.387); (366.833);;;;;;
Cash paid for General and Administrative; (5.000); (22.297); (48.503); (87.363); (133.688);;;;;;
Cash paid for Development & Maintenance; (8.100); (22.297); (48.503); (69.890); (80.213);;;;;;
Cash paid for Custumer support; -   ; (18.581); (40.419); (87.363); (133.688);;;;;;
0; -   ; -   ; -   ; -   ; -   ;;;;;;
0; -   ; -   ; -   ; -   ; -   ;;;;;;
0; -   ; -   ; -   ; -   ; -   ;;;;;;
0; -   ; -   ; -   ; -   ; -   ;;;;;;
0; -   ; -   ; -   ; -   ; -   ;;;;;;
0; -   ; -   ; -   ; -   ; -   ;;;;;;
0; -   ; -   ; -   ; -   ; -   ;;;;;;
0; -   ; -   ; -   ; -   ; -   ;;;;;;
0; -   ; -   ; -   ; -   ; -   ;;;;;;
0; -   ; -   ; -   ; -   ; -   ;;;;;;
0; -   ; -   ; -   ; -   ; -   ;;;;;;
0; -   ; -   ; -   ; -   ; -   ;;;;;;
0; -   ; -   ; -   ; -   ; -   ;;;;;;
0; -   ; -   ; -   ; -   ; -   ;;;;;;
0; -   ; -   ; -   ; -   ; -   ;;;;;;
0; -   ; -   ; -   ; -   ; -   ;;;;;;
Cash paid for Salaries; (59.938); (305.110); (417.136); (443.974); (472.752);;;;;;
Cash paid for Loan Interest Expense; -   ; -   ; -   ; -   ; -   ;;;;;;
Cash paid for Income Tax; -   ; -   ; -   ; (44.358); (218.289);;;;;;
Net Cash from Operating Activities; €(73.815); €(198.649); €(95.924); €462.705 ; €804.152 ;;;;;;
;;;;;;;;;;;
Cash from Financing and Investing;;;;;;;;;;;
Cash from New Loans; -   ; -   ; -   ; -   ; -   ;;;;;;
Cash from New Investments;15.000 ; -   ; -   ; -   ; -   ;;;;;;
Cash paid on Loan Principal; -   ; -   ; -   ; -   ; -   ;;;;;;
Cash paid for Fixed Assets; (1.800); -   ; -   ; -   ; -   ;;;;;;
Net Cash from Financing and Investing; €13.200 ; €-   ; €-   ; €-   ; €-   ;;;;;;
;;;;;;;;;;;
Cash Before Dividends; (60.615); (259.264); (355.188);107.517 ;911.669 ;;;;;;
Cash paid for Dividends; -   ; -   ; -   ; -   ; -   ;;;;;;
Net Cash Inflow (Outflow); €(60.615); €(198.649); €(95.924); €462.705 ; €804.152 ;;;;;;
;;;;;;;;;;;
Cash at End of Period; €(60.615); €(259.264); €(355.188); €107.517 ; €911.669 ;;;;;;
;;;;;;;;;;;
