;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Profit and Loss at a Glance;;;;;;;;;;;;Key Ratios;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2026;;2027;;2028;;2029;;2030;;;;2026;2027;2028;2029;2030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Revenue; €22.722 ;100%; €371.623 ;100%; €808.386 ;100%; €1.747.255 ;100%; €2.673.766 ;100%;;Sales Growth;N/A;1536%;118%;116%;53%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Cost of Goods Sold; €1.954 ;9%; €19.046 ;5%; €42.864 ;5%; €76.187 ;4%; €122.797 ;5%;;Gross Profit Margin;91%;95%;95%;96%;95%;(Revenue - Cost of Goods Sold - Direct Labor) / Revenue. Shows what % of revenue remains after direct costs are paid. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gross Profit; €20.767 ;91%; €352.577 ;95%; €765.522 ;95%; €1.671.068 ;96%; €2.550.968 ;95%;;Return on Capital ;125%;75%;5%;127%;65%;Net income / (Debt  + Equity). Shows how efficiently your company is using it's capital. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Operating Expenses; €94.943 ;418%; €527.461 ;142%; €778.753 ;96%; €961.337 ;55%; €1.187.535 ;44%;;Profit Margin;-326%;-47%;-2%;30%;38%;Net Income / Revenue. Shows what % of revenue remains after all expenses are paid. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Net Income; €(74.175);-326%; €(174.884);-47%; €(13.231);-2%; €532.298 ;30%; €1.022.575 ;38%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;EBITDA; €(73.815);-325%; €(174.524);-47%; €(12.871);-2%; €710.091 ;41%; €1.363.793 ;51%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;EBITDA is earnings before interest, tax, depreciation, and amortization.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1;;2;;3;;4;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;12;;24;;36;;48;;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Summary Data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
